V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Qutalas4,Qhelyzet1,Qlap5,Qfenntartas4,Qvalto3,Qhuvely4,Qlap4,Qsuly1,Qhozzajarulas5,Qutalas7,Qhuvely5,Qcsod1,Qallas9,Qhozzajarulas4,Qhuvely3,Qutalas9,Qvalto8,Qhuvely6,Qfenntartas7,Qfenntartas1,Qhelyzet7,Qhelyzet3,Qsuly3,Qutalas2,Qcsod3,Qfenntartas9,Qhozzajarulas6,Qvalto2,Qfenntartas5,Qlap9,Qsuly9,Qvalto5,Qutalas5,Qhelyzet2,Qcsod6,Qlap1,Qcsod4,Qallas7,Qhozzajarulas1,Qutalas8,Qhelyzet10,Qfenntartas3,Qsuly10,Qlap8,Qutalas1,Qallas2,Qutalas3,Qallas5,Qsuly8,Qlap10,Qcsod10,Qallas8,Qfenntartas10,Qallas1,Qhozzajarulas10,Qcsod8,Qfenntartas2,Qvalto4,Qvalto9,Qcsod9,Qsuly12,Qsuly2,Qcsod7,Qlap3,Qhozzajarulas3,Qlap6,Qallas3,Qallas10,Qutalas10,Qsuly6,Qhuvely7,Qlap2,Qcsod5,Qvalto1,Qhuvely1,Qvalto7,Qhelyzet5,Qutalas6,Qsuly11,Qhelyzet9,Qfenntartas6,Qhozzajarulas9,Qsuly4,Qsuly5,Qhelyzet6,Qhuvely10,Qhuvely2,Qhelyzet8,Qallas4,Qhuvely8,Qsuly7,Qhozzajarulas2,Qvalto6,Qhozzajarulas8,Qcsod2,Qhelyzet4,Qvalto10,Qfenntartas8,Qallas6,Qlap7,Qhozzajarulas7,Qhuvely9,Qgazda3,Qhivatal1,Qtetel2,Qjelentes7,Qhivatal4,Qjelentes8,Qgyumolcs9,Qtetel3,Qhivatal8,Qgazda8,Qkarakter2,Qkarakter4,Qhivatal5,Qhivatal3,Qoldal9,Qhivatal7,Qgazda2,Qoldal8,Qbelepo1,Qoldal6,Qszellem4,Qoldal3,Qkarakter8,Qszervezet4,Qtetel10,Qszervezet8,Qszervezet5,Qjelentes6,Qszervezet1,Qoldal5,Qbelepo12,Qgyumolcs10,Qbelepo5,Qszellem3,Qbelepo6,Qgazda7,Qkarakter3,Qkarakter5,Qgyumolcs2,Qtetel5,Qoldal7,Qoldal11,Qhivatal9,Qhivatal2,Qtetel4,Qbelepo8,Qjelentes5,Qgyumolcs1,Qbelepo11,Qszellem6,Qgyumolcs8,Qgazda5,Qtetel1,Qtetel8,Qbelepo2,Qgazda6,Qbelepo9,Qgazda9,Qkarakter6,Qszellem11,Qoldal2,Qszellem1,Qbelepo10,Qjelentes1,Qkarakter9,Qszellem8,Qoldal10,Qgyumolcs3,Qszellem2,Qjelentes3,Qtetel6,Qjelentes10,Qszervezet3,Qbelepo7,Qszellem5,Qszervezet2,Qoldal1,Qgazda4,Qgazda11,Qgazda10,Qszervezet10,Qhivatal6,Qbelepo3,Qkarakter7,Qkarakter10,Qszervezet9,Qtetel7,Qszervezet7,Qoldal4,Qszellem10,Qszellem9,Qgazda1,Qjelentes9,Qjelentes2,Qgyumolcs7,Qgyumolcs5,Qszervezet6,Qtetel9,Qgyumolcs4,Qkarakter1,Qszellem7,Qhivatal10,Qbelepo4,Qgyumolcs6,Qjelentes4,Qgazda12,Qtanacs6,Qkilatas10,Qvilla6,Qpofa2,Qparadicsom8,Qdij3,Qparadicsom4,Qlehetoseg8,Qalak6,Qparadicsom6,Qtermeszet5,Qkep11,Qful7,Qtargy8,Qpofa1,Qkilatas5,Qalak4,Qful9,Qlehetoseg9,Qlehetoseg2,Qkep8,Qpofa11,Qdij2,Qalak2,Qgyakorlat10,Qtargy6,Qlehetoseg7,Qtermeszet10,Qlehetoseg10,Qgyakorlat7,Qkep3,Qhitel10,Qalak7,Qpofa5,Qkep2,Qkilatas1,Qho11,Qvilla11,Qhitel5,Qvilla7,Qvilla4,Qalak11,Qkep4,Qlehetoseg11,Qho7,Qful10,Qgyakorlat5,Qkilatas7,Qlehetoseg5,Qgyakorlat3,Qgyakorlat2,Qkilatas11,Qtermeszet4,Qparadicsom10,Qtanacs5,Qtargy10,Qho6,Qho8,Qhitel4,Qdij10,Qkilatas6,Qful4,Qho4,Qdij7,Qful6,Qtanacs2,Qlehetoseg1,Qtargy7,Qgyakorlat6,Qtargy9,Qtanacs1,Qpofa8,Qtermeszet7,Qtargy3,Qpofa3,Qtargy5,Qpofa4,Qhitel9,Qho9,Qkilatas3,Qtanacs9,Qho1,Qtanacs8,Qkep10,Qkep5,Qful3,Qpofa6,Qtanacs10,Qvilla3,Qtermeszet1,Qtargy1,Qtermeszet3,Qdij5,Qho10,Qvilla1,Qgyakorlat4,Qkep6,Qkep9,Qtermeszet6,Qvilla9,Qhitel1,Qdij9,Qparadicsom5,Qtargy2,Qkep7,Qdij1,Qalak5,Qhitel2,Qkilatas8,Qhitel6,Qvilla2,Qtermeszet9,Qkilatas4,Qvilla10,Qpofa9,Qgyakorlat1,Qalak3,Qparadicsom9,Qhitel8,Qparadicsom7,Qtargy4,Qful5,Qkilatas2,Qho5,Qdij6,Qtanacs7,Qgyakorlat8,Qtermeszet2,Qvilla8,Qvilla5,Qlehetoseg3,Qgyakorlat9,Qtanacs11,Qtermeszet8,Qful1,Qparadicsom2,Qhitel3,Qtanacs3,Qalak9,Qparadicsom11,Qalak1,Qpofa10,Qkilatas9,Qho3,Qalak10,Qho2,Qlehetoseg4,Qalak12,Qparadicsom3,Qlehetoseg6,Qdij4,Qalak8,Qtanacs4,Qful2,Qparadicsom1,Qhitel7,Qful8,Qpofa7,Qdij8,Qkep1,LocationLatitude,LocationLongitude,LocationAccuracy,
ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,Array,LocationLatitude,LocationLongitude,LocationAccuracy,
R_3fQ2ks5jwObg7A1,Default Response Set,Anonymous,,,89.240.244.55,0,2014-11-23 20:18:45,2014-11-23 21:20:41,0,hivatkozás,státuszának,napilap / hetilap / újság,aggályai / kétségei,,,újság / napilap / hetilap / sajtó,,adományával / segítségével,hivatkozással,,,állapota,támogatását / engedélyét,,átutalásokra / folyósításokra,,borsóhüvely,biztosítására,aggályok,testhelyzetben / pozícióban,állapotban / szituációban,teher,,kudarcot / ,,engedélye / beleegyezése,pénzt,működéséhez / ,,,váltásban,,,kudarcáért / összeomlásáért,,vereség / kudarc / ,pozícióban / ,engedélyét / beleegyezését,,állapot,kétség / hezitálás,,űrlapokat / ,hivatkozás,munkahelyek,indoklás / hivatkozás,munkakör,kiadásait / terhét,,,munkakört,kétségei / aggályai,,beleegyezését,,,,sebességváltót,összeomlást,,,,,beleegyezése / ,újság / napilap / hetilap / ,,eredménye,átutalás / folyósítás,testsúly,,,tönkremeneteléért,,,,,jelzést,,állapota,,befizetéseinek / támogatásának,teher,fontossága / jelentősége,állapot,kardhüvelyből / tőrhüvelyből,,körülmény,,,fontosságának / jelentőségének,támogatásai,,beleegyezésével / engedélyével,kudarcát,testhelyzetben / pózban,csapatnak,kétségeiket / aggályaikat,munkahely / munka,újság / napilap / hetilap / magazin,beleegyezésére / engedélyére,,farmerek / mezőgazdászok / termelők,,vizsgatételeket,beszámolója,hatalomba,beszámolóját / tájékoztatóját,,összege,,,megjelenését / jellegét,jellem,,,,,,,csatlakozók,,,,,,,,,,,,,,belépőjegyek,,,,,jelleg,bevételeinek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_8odR8CNL7GqLO5v,Default Response Set,Anonymous,,,89.132.90.35,0,2014-11-23 22:40:52,2014-11-23 22:42:42,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_8oJFAP3QAPZL4Gh,Default Response Set,Anonymous,,,80.99.216.114,0,2014-11-23 22:46:09,2014-11-23 22:49:12,0,Hivatkozás,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_b89ga1NezXCjbF3,Default Response Set,Anonymous,,,81.182.211.49,0,2014-11-23 22:52:38,2014-11-23 23:36:56,0,jel / hivatkozás,körülményeinek / ,folyóirat / újság / magazin / hírlap,kétségei / bizonytalansága / kifogásai,váltóeszközt,tartójában / kapszulájában,újság / folyóirat / hírlap / magazin,tömegének,támogatásával / pénzéből / segítségével,hivatkozással,vaginába,kudarcra / ,helyzete / fennállása / körülményei,engedélyét / egyetértését / jóváhagyását,nemiszervéből,hivatkozásokra,értékpapír,héj,biztosítására / érvényesítésére,kétségek / bizonytalanságok / ellenérzések,pózban / pozícióban,szituációban / körülményekben,tömeg,megjegyzésemre / szavamra,kudarcot / veszteséget,támogatásával / pénzéből,jóváhagyása / engedélye,kölcsönbe / hitelbe,biztosításához,fejezetei / példái,hangsúlyt / ,felváltva / csoportban,megjegyzést,szituációkban / eseményeken,összeomlásáért / katasztrófájáért,újságunknak / hírlapunknak / riporterünknek,Katasztrófa / Tragédia,alkalmazva,segítségét / támogatását,küldéséről / irányításáról,összkép / körülmények,félelem / óvatoskodás / előítéletek,tömege,nyomtatványokat / papírokat / dokumentumokat,megjegyzés / kitétel,pozíciók / pontok / helyek,kitérés / megjegyzés,munkahely / pozíció,terhét / kiadásait,papírt / dokumentumot / intőt,összeomlást / bezárást,pozíciót / helyet / feladatkört,problémái / ellenérzései,eredmény,részét / vállalását,összeomlás / katasztrófa,tartósításáért / védelméért,síneket,sebességváltót,összeomlást / katasztrófát / veszteséget,tömeg,hangsúllyal / mértékben,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_8BK1nzIGwb2MCqx,Default Response Set,Anonymous,,,89.132.99.109,0,2014-11-23 22:52:15,2014-11-23 23:44:50,0,megjegyzes/ allitas/ celzas,szituacio/ allapot,ujsag/ magazin/ folyoirat/ oldal,ellenkezesei,kitero,kopeny,ujsag/ magazin,tomeg,befizetes/ adomanyozas/ tamogatas/ ,emlites,lik/ pina/ suna/ szemeremtest/ mezesbodon/ muff,bukasra/ vesztebe ,helyzet/ allapot/ szituacio,engedely/ tamogatas/ igen/ jovahagyas/ rabolintas,ez mar volt! pina/ tarisznya/ ajzat/ barlang/ feszek/ kejbarlang/ mindzso/ vagina,transzfer/igerveny/termes,megorzes/ betartas,ellenvelemeny/ ellenkezes/ felelmek/ megkerdojelezesek,testtartas/ poz,szituacio/ allapot,nehezseg/ tomeg,celzas,krach, tonkremenetel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_3RjYZ6ldEiQrz0h,Default Response Set,Anonymous,,,178.48.17.9,0,2014-11-24 08:37:13,2014-11-24 08:40:04,0,hivatkozás / (szó kihagyása),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_80ajsYALIP5lilv,Default Response Set,Anonymous,,,193.6.194.10,0,2014-11-24 08:57:18,2014-11-24 09:04:15,0,jel / referencia,státuszának / ,újság / kiadvány / nyomtatvány,kételyei,eszközt,tokjában,újság / ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_1BREVzr6mDb6Xhr,Default Response Set,Anonymous,,,80.98.57.245,0,2014-11-24 10:04:44,2014-11-24 10:09:53,0,megjegyzés,kérdésének ügyének ,folyóirat periodika ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_a61C0okJXj0hdMp,Default Response Set,Anonymous,,,193.6.194.10,0,2014-11-24 12:47:31,2014-11-24 12:53:09,0,hivatkozás / referencia / ,állapotának / körülményeinek,kiadvány / újság / médium / ,ellenvetés / kifogás / ,kitérő,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_eh6Sa1mW2FNzDOR,Default Response Set,Anonymous,,,195.228.168.9,0,2014-11-24 15:18:58,2014-11-24 15:23:05,0,jel,problémáinak / ,újság,aggodalmai,jelzőt,belsejében,újság,tömegének,finanszírozásával,hivatkozással,punciba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_0IFzncmvyIS1n8x,Default Response Set,Anonymous,,,193.6.194.10,0,2014-11-24 13:25:16,2014-11-24 15:28:23,0,részlet / információ,viszonyának,újság / folyóirat / orgánum,kételyei / kétségei,eszközt / szerkezetet,belsejében,újság / ,tömegének,támogatásával,hivatkozással,vaginába,bukásba,alakulása,beleegyezését,vaginájából,tranzakciókra,értékpapír,tok,megtartására / biztosítására,kétkedések / kételyek,testtartásban / ,esetben,tömeg,megjegyzésemre,kudarc / összeomlás,üzemeltetésében,támogatása,ígéretre,megőrzéséhez,darabjai,hangsúlyt,stafétában,említést,szituációkban,összeomlásáért,újságunknak,kudarc,foglalkoztatva / státuszban,jóváhagyását,juttatásáról,állapot,kétség,tömege,nyomtatványokat,hivatkozás,pontok,említés,pozíció,terhét,dokumentumot,fizetésképtelenséget,pozíciót,kétségei,eredmény,beleegyezését,összeomlás,megőrzéséért,szerkezeteket,,összeomlást,tömeg,nyomatékkal / hangsúllyal,összeomlásról,újságunknak,engedélye / beleegyezése,újság,csapataira,eredménye,összeg,tömeg,tokból,papírokra,összeomlásáért,értékpapírt,vaginán,csapat,állapot,megjegyzést,tömegét,állapota,megőrzésére,támogatásának,teher,jelentősége,állapot,tokból,vaginán,szituáció,pozícióját / ,tok,jelentőségének,támogatásai,stafétára,beleegyezésével,kudarcát,tartásban,csapatnak,kétségeiket,munka,folyóirat / újság,beleegyezése,tokok,földművelők,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_5i00RyE2oEOfXE1,Default Response Set,Anonymous,,,46.107.24.94,0,2014-11-24 14:15:33,2014-11-24 16:54:12,0,hint / referencia / jellegzetesség,státuszának / kérdésének / ,újság / sajtóorgánum / sajtótermék / kiadvány,ellenállása / rosszallásai / ódzkodása,berendezést / eszközt / biztosítót,tokjában / ,újság / kiadvány / sajtóorgánum / ,tömegének / testtömegének / testsúlyának,pénzéből / befizetéseiből /  / ,hivatkozással / ,vaginába / punciba / ,romlásba / pusztulásba,helyzete / működése / ,engedélyét / beleegyezését / jóváhagyását,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_bNMchODAw1MCxcF,Default Response Set,Anonymous,,,80.99.46.219,0,2014-11-25 00:07:23,2014-11-25 00:57:52,0,megjegyzés / információ / elszólás / közlés / hivatkozás,kérdésének / állapotának / jogviszonyának / megítélésének / ,újság / magazin / hírlap / folyóirat / hírportál,aggályai / aggodalmai / ellenszenve / ellenérzései / szkepticizmusa,kapcsolót / jelzést / ,köpenyében / belsejében / házában / magjában,újság,tömegének,támogatásával / beleegyezésével / ,hivatkozással,vulvába / partnerbe,zsákutcába / kárhozatba / elnyomásba,tényállása / tényálladéka / ismerete,beleegyezését / pártfogását / szavát / jóváhagyását,,tranzakciókra / átutalásokra / pénzforgalomra,igazolás / bizonylat,borsó / termés,megőrzésére / kialakítására / visszaállítására,ellenérzések / ellenvélemények / ,testtartásban / pozícióban / pozitúrában / ,állapotokban / időkben,teher / hóteher,megjegyzésemre / odavetésemre,krachot / megsemmisülést,támogatásában / eltartottjaként,beleegyezése / jóváhagyása,kölcsönbe,megőrzéséhez / megtartásához / stabilizálásához,oldalai / szemelvényei / örökségei,hangsúlyt / ,csapatversenyben,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_bDXlli73fkRuGTH,Default Response Set,Anonymous,,,89.135.120.97,0,2014-11-23 18:29:10,2014-11-26 23:46:11,0,jelzés / iránymutatás / ,életkörülményeinek / státusának,újság / kiadvány / ,kifogásai / ellenvetései / félelmei,irányítóeszközt,belsejében,újság / kiadvány / ,tömegének / nehézségének,támogatásával / finanszírozásával,idézettel,vaginába,tönkretette / ,helyzete,beleegyézését / egyetértését,vaginájából,tranzakciókra / fizetésekre,értékpapír,magház / zöldség,kikényszerítésére,kifogások / kételyek / kétségek,pozícióban / pózban / testhelyzetben,szituációban / ,tömeg / nehézség,célzásomra / célozgatásomra / ,kudarcot / sikertelenséget / bukást,működtetésében / kezelésében / finanszírozásában,egyetértése / engedélye / jóváhagyása,fizetési ígéretre,megmaradásához / ,oldalai / történetei,hangsúlyt / figyelmet,párosban,említést / célzást,szituációkban / ,kudarcáért / összeomlásáért / hanyatlásáért,kiadványunknak / nekünk,Kudarc / Bukás / Vereség / Tehetetlenség,munkában / foglalkoztatásban / állományban / dolgozói állományban,engedélyét / jóváhagyását,transzferálásáról / átutalásáról / küldéséről,környezet / ,kétség / kétely / hátsó gondolat /  / ,tömege / nehézsége,űrlapokat / nyomtatványokat / formanyomtatványokat / ,,pozíciók / harcállások / ,,munkahely / pozíció / ,kiadásait / terheit,bizonyítványt / igazolást / jegyzéket,fizetésképtelenséget / csődvédelmet,munkahelyet / státust,kifogásai / kétségei / kételyei,helyzet / eredmény,engedélyét / ,államcsőd / fizetésképtelenség / ,megtartásáért / fennmaradásáért / ,,,fizetésképtelenséget,testsúly / tömeg,fontossággal / jelentőséggel,csődvédelemről / fizetésképtelenségről,kiadványunknak,engedélye / ,szerkesztőség / újságírók,hadállásaira / pozícióira / csapataira,eredménye,tranzakció / fizetés,tömeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
